No.,Time,Length
2313,51.97695,117
2314,51.992005,193
2315,52.058173,187
2316,52.127027,190
2322,52.190102,117
2323,52.192615,194
2327,52.257335,200
2328,52.323336,191
2331,52.389922,175
2333,52.406744,117
2336,52.456951,160
2338,52.523193,157
2340,52.586921,160
2341,52.617444,117
2343,52.652513,170
2344,52.723056,185
2346,52.787068,178
2347,52.829856,117
2348,52.852015,192
2349,52.917095,176
2350,52.983023,166
2352,53.047586,117
2353,53.0476,168
2354,53.063014,68
2356,53.117069,171
2358,53.183123,169
2361,53.247323,175
2362,53.256836,117
2363,53.312579,186
2364,53.377564,178
2366,53.447034,187
2370,53.483407,117
2372,53.51185,176
2373,53.577027,162
2374,53.643183,163
2377,53.689003,117
2378,53.709968,165
2379,53.777637,175
2380,53.842987,172
2382,53.907207,172
2383,53.916852,117
2384,53.97213,177
2385,54.043173,171
2387,54.107098,163
2388,54.129939,117
2389,54.172402,163
2393,54.24304,155
2395,54.303118,164
2396,54.343386,117
2397,54.370049,174
2399,54.437061,180
2401,54.502983,185
2402,54.543214,117
2403,54.567041,193
2404,54.632401,175
2405,54.703058,190
2408,54.746936,117
2409,54.766843,209
2410,54.831962,207
2411,54.897044,201
2413,54.968018,200
2414,54.977987,117
2415,55.030255,204
2416,55.096929,185
2418,55.163114,189
2419,55.203123,117
2422,55.228136,192
2425,55.297338,199
2429,55.364062,204
2431,55.397679,117
2433,55.427011,212
2437,55.492601,217
2441,55.563477,214
2443,55.612569,117
2444,55.623061,208
2445,55.690003,193
2446,55.757118,195
2448,55.823127,186
2449,55.823141,117
2450,55.886966,172
2451,55.968019,169
2453,56.023835,184
2454,56.04968,117
2456,56.086914,191
2457,56.107006,68
2462,56.152085,190
2464,56.217444,200
2465,56.264268,117
2466,56.283114,209
2467,56.350645,200
2470,56.417048,185
2474,56.463456,117
2475,56.488117,178
2477,56.547513,173
2479,56.617293,173
2482,56.688378,173
2483,56.688391,117
2485,56.74698,192
2486,56.8101,203
2489,56.882921,200
2491,56.917366,117
2492,56.947023,192
2493,57.00998,195
2495,57.077682,202
2496,57.127936,117
2497,57.143041,200
2498,57.207904,193
2499,57.273503,195
2501,57.323201,117
2502,57.343165,199
2504,57.406961,208
2505,57.472263,220
2507,57.53697,232
2508,57.549846,117
2509,57.603121,226
2510,57.670015,238
2512,57.737077,223
2513,57.763077,117
2514,57.803089,220
2515,57.8675,217
2519,57.943167,194
2520,57.94318,68
2521,57.963005,117
2522,58.008014,207
2523,58.067194,207
2525,58.138124,225
2526,58.173505,117
2527,58.203431,235
2531,58.262992,214
2532,58.329911,225
2534,58.402999,212
2535,58.403012,117
2537,58.463188,200
2540,58.533244,218
2542,58.603288,203
2543,58.603301,117
2544,58.663132,213
2545,58.733149,218
2547,58.792034,216
2548,58.807923,117
2549,58.863116,214
2551,58.928047,218
2553,58.998104,215
2554,59.011817,117
2555,59.056929,221
2556,59.123063,222
2557,59.157491,68
2561,59.187111,218
2562,59.217695,117
2564,59.25699,218
2565,59.323148,212
2567,59.386952,212
2570,59.432006,117
2571,59.452359,231
2575,59.523088,237
2576,59.583445,231
2578,59.63741,117
2579,59.647536,248
2580,59.72313,234
2581,59.783211,226
2583,59.846933,224
2584,59.857034,117
2586,59.924032,216
2587,59.984191,238
2589,60.047031,240
2590,60.056913,117
2591,60.112626,258
2595,60.17763,262
2597,60.243085,245
2598,60.288069,117
2599,60.310189,248
2601,60.377403,230
2605,60.4432,214
2607,60.483746,117
2608,60.506973,216
2609,60.57202,236
2610,60.643838,256
2612,60.707079,271
2613,60.707092,117
2614,60.771968,259
2615,60.843829,245
2618,60.903057,225
2619,60.915653,117
2621,60.969951,216
2622,61.04332,238
2624,61.108763,238
2625,61.12343,117
2626,61.166928,249
2628,61.242926,245
2632,61.302991,231
2633,61.316926,117
2634,61.3669,231
2635,61.438114,211
2641,61.497401,212
2642,61.527389,117
2643,61.563032,231
2644,61.630028,227
2646,61.697022,227
2647,61.743123,117
2648,61.763042,235
2649,61.827059,224
2650,61.892543,228
2652,61.943399,117
2653,61.963021,231
2654,62.027097,243
2655,62.089947,238
2657,62.163181,253
2658,62.166794,117
2659,62.197002,68
2661,62.225305,256
2662,62.289897,244
2664,62.363023,244
2665,62.387917,117
2666,62.422888,217
2668,62.487667,200
2671,62.558102,208
2672,62.583167,117
2673,62.628025,199
2674,62.686979,204
2676,62.752028,197
2677,62.796916,117
2678,62.81704,202
2679,62.887023,190
2680,62.949987,192
2682,62.989888,117
2683,63.017258,189
2684,63.083013,179
2685,63.147132,183
2687,63.223356,182
2688,63.223368,117
2689,63.283146,194
2690,63.347097,210
2693,63.41192,231
2694,63.430182,117
2698,63.483058,237
2699,63.530111,157
2701,63.543115,231
2703,63.610025,220
2704,63.643037,117
2705,63.677431,199
2706,63.742962,201
2707,63.807973,204
2709,63.848011,157
2710,63.848023,117
2712,63.883077,219
2714,63.942996,221
2715,64.007019,215
2717,64.063919,117
2718,64.072477,223
2720,64.137335,227
2725,64.206868,226
2729,64.267776,117
2730,64.26979,225
2734,64.337428,214
2736,64.403174,206
2739,64.466987,206
2742,64.497209,117
2744,64.532047,208
2745,64.603166,199
2747,64.667097,186
2748,64.70989,117
2749,64.7351,196
2750,64.803012,200
2752,64.863323,206
2754,64.903073,117
2756,64.933224,215
2757,65.003396,191
2758,65.063562,186
2760,65.111935,117
2761,65.12708,186
2762,65.203155,178
2763,65.262929,191
2765,65.327308,198
2766,65.327323,117
2768,65.391913,208
2769,65.457532,215
2773,65.522951,209
2774,65.537142,117
2775,65.590547,201
2776,65.657305,185
2778,65.723344,172
2779,65.743258,117
2780,65.787454,168
2782,65.852344,165
2784,65.923286,170
2785,65.943063,117
2786,65.987041,174
2787,66.051979,175
2789,66.116944,167
2790,66.151889,117
2794,66.183309,199
2798,66.249943,211
2801,66.323035,219
2803,66.370066,117
2804,66.382996,242
2806,66.447443,245
2808,66.523366,243
2809,66.563115,117
2810,66.583142,255
2811,66.647108,224
2812,66.711374,215
2814,66.777506,199
2815,66.787598,117
2816,66.842984,179
2818,66.894664,68
2820,66.91284,196
2822,66.977099,208
2823,67.003108,117
2824,67.04305,220
2825,67.107184,234
2827,67.177301,244
2828,67.208027,117
2830,67.244274,247
2834,67.303506,249
2836,67.372711,245
2839,67.412029,117
2840,67.437204,250
2844,67.503691,243
2846,67.569964,246
2847,67.609985,117
2848,67.636956,251
2849,67.704418,250
2850,67.766939,259
2852,67.817187,117
2853,67.843054,252
2854,67.904399,252
2856,67.967061,265
2858,68.032163,258
2859,68.032177,117
2860,68.103588,267
2864,68.163282,279
2866,68.230203,279
2867,68.246949,117
2868,68.29695,281
2870,68.365059,257
2874,68.433928,243
2875,68.447957,117
2878,68.496938,237
2880,68.562984,234
2882,68.627148,238
2883,68.663226,117
2884,68.691947,241
2885,68.76292,221
2886,68.823049,229
2888,68.872523,117
2889,68.889967,248
2892,68.963269,246
2893,69.023381,251
2895,69.067682,157
2897,69.087567,246
2898,69.103028,117
2899,69.152051,238
2901,69.22293,234
2904,69.287139,215
2905,69.311977,117
2906,69.351899,205
2907,69.417466,227
2910,69.487057,223
2911,69.511429,117
2912,69.550098,241
2913,69.617125,260
2915,69.688076,241
2916,69.712021,117
2917,69.747202,248
2918,69.816926,241
2920,69.883039,241
2921,69.923389,117
2922,69.948408,247
2924,70.012045,268
2926,70.083208,277
2927,70.12293,117
2928,70.143504,254
2929,70.210161,241
2931,70.287045,236
2935,70.343026,224
2936,70.343036,117
2937,70.407164,230
2939,70.482974,247
2943,70.567316,117
2944,70.567325,265
2945,70.607411,281
2946,70.670012,274
2948,70.743026,265
2949,70.7634,117
2950,70.803331,263
2952,70.870482,254
2953,70.913432,68
2955,70.943283,260
2956,70.956958,117
2957,71.004586,255
2958,71.006999,141
2961,71.067128,257
2963,71.13249,271
2964,71.172413,117
2965,71.203225,286
2966,71.267004,289
2967,71.330366,292
2969,71.38323,117
2970,71.402919,280
2975,71.46874,264
2977,71.537025,259
2979,71.603149,256
2980,71.603163,117
2981,71.663077,245
2982,71.731441,258
2984,71.804673,280
2985,71.82317,117
2986,71.863161,294
2987,71.927264,218
2988,71.927276,310
2990,71.966903,157
2993,71.989993,225
2994,71.990007,319
2995,72.023283,117
2996,72.057016,254
2997,72.057028,309
2998,72.127007,267
2999,72.127017,298
3004,72.190219,278
3005,72.190233,283
3006,72.230004,117
3007,72.263124,266
3008,72.263138,299
3009,72.323155,262
3010,72.323167,290
3012,72.387021,215
3013,72.387032,312
3016,72.45566,117
3017,72.455674,237
3018,72.455676,284
3021,72.523013,253
3022,72.523025,266
3023,72.587359,265
3025,72.65208,252
3026,72.663166,117
3027,72.723066,255
3028,72.787071,225
3030,72.849984,195
3031,72.877302,117
3033,72.923021,223
3034,72.98323,239
3037,73.051964,251
3038,73.088117,117
3039,73.123092,260
3040,73.183185,250
3042,73.25854,231
3044,73.2875,117
3047,73.318673,205
3048,73.377492,211
3050,73.448032,208
3054,73.488063,117
3057,73.519281,211
3058,73.58297,247
3060,73.658187,256
3061,73.713312,117
3062,73.713325,284
3063,73.777407,313
3064,73.848109,221
3065,73.848124,322
3067,73.907485,236
3068,73.907503,321
3069,73.933259,117
